,Real Name,Weight and Height,Birthplace,wrestler_name,Debut,Height,Date of Birth,Date of Death,Weight
27761,unknown,,,Cousin Alfred,,,,,
27762,unknown,176 lbs. (80 kg) at 5'9'' (1.75 m),Mexico,Mr. Tiempo,,,1959,,
27763,unknown,,"Juárez, Chihuahua (Mexico)",Peluchin Maldad,,,,,
27764,Óscar Israel Puente Carranza,,Coahuila de Zaragoza (Mexico),Molotov Jr.,,,,,
27765,unknown,,Hidalgo (Mexico),Dragón Bane,2013,,2000,,
27766,unknown,,"Freeport, New York (United States of America)",Jordan Reddington,??th April 2008,,,,143 lbs. (65 kg)
27767,unknown,,United States of America,Jesse Vane,17th November 2012 (9 years ago),,,,
27768,unknown,,,Tyshaun Prince,,,,,
27769,unknown,139 lbs. (63 kg) at 5'7'' (1.70 m),"Saltillo, Coahuila de Zaragoza (Mexico)",Fratercula Jr.,2012,,18th August 1998 (age 23),,
27772,Brian Reid,275 lbs. (125 kg) at 6'2'' (1.88 m),California (United States of America),Brian Tannen,2012,,1992,,
27773,unknown,231 lbs. (105 kg) at 6'1'' (1.85 m),New York (United States of America),Joe Graves,,,,,
27777,unknown,,"Santa Catarina, Nuevo León (Mexico)",Magic Girl ,??th June 2012,,21st January ???,,110 lbs. (50 kg)
27778,unknown,,,Arthur Norton,,,,,
27779,unknown,,Mexico,Gema,,,,,
27780,Alan Patrick Silva Alves,155 lbs. (70 kg) at 5'11'' (1.80 m),"Manaus, Amazonas (Brazil)",Alan Patrick Silva Alves,7th April 2008 (13 years ago),,9th July 1983 (age 38),,
27783,Mike Niederreiter,163 lbs. (74 kg) at 5'7'' (1.70 m),"Salzburg, Salzburg (Austria)",Miguel Ramírez,12th March 2011 (11 years ago),,25th April 1995 (age 26),,
27785,Oliver Gratzer,319 lbs. (145 kg) at 6'1'' (1.85 m),"Steyr, Oberösterreich (Austria)",Oliver Gratzer,2007,,27th June 1974 (age 47),,
27786,Bill Slaydon,,,RT Williams,1990,,,,
27787,Kevin Dunn,,United States of America,Kevin Dunn,,,,,
27788,Adán González,,Mexico,Último Samuray Jr.,,,1989,,
27789,unknown,,Mexico,Goliath,,,,,
27790,unknown,,Mexico,David,,,,,
27791,Maximilian Tresp,264 lbs. (120 kg) at 6'1'' (1.85 m),"Altötting, Bayern (Germany)",Maximilian Bismarck,12th March 2011 (11 years ago),,7th March 1988 (age 34),,
27792,Mario Szesni,216 lbs. (98 kg) at 5'11'' (1.80 m),"Wien, Wien (Austria)",Muslim Sultanov,10th September 2011 (10 years ago),,21st March 1987 (age 34),,
27793,Kerry J. Wilson,229 lbs. (104 kg) at 6'3'' (1.91 m),"Los Angeles, California (United States of America)",Kerry Wilson,,,1960,,
27794,Simon Schäfer,187 lbs. (85 kg) at 6'0'' (1.83 m),"Hildesheim, Niedersachsen (Germany)",Stampede Simon,3rd April 2010 (11 years ago),,23rd January 1980 (age 42),,
27796,unknown,159 lbs. (72 kg) at 5'5'' (1.65 m),"Fukuyama, Hiroshima (Japan)",Mari Kuwada ,,,4th February 1977 (age 45),,
27797,Kamil Manuszewski ,183 lbs. (83 kg) at 5'11'' (1.80 m),"Gdansk, Pomorskie (Poland)",Kamil Manuszewski ,8th August 2009 (12 years ago),,2nd July 1990 (age 31),,
27798,Piotr Klarys,176 lbs. (80 kg) at 5'11'' (1.80 m),Lubelskie (Poland),Klarys,8th August 2009 (12 years ago),,14th June 1986 (age 35),,
27799,unknown,240 lbs. (109 kg) at 6'2'' (1.88 m),,Roger McCune,,,,,
27800,unknown,198 lbs. (90 kg) at 6'5'' (1.96 m),Poland,Jedrus Bulecka,17th July 2009 (12 years ago),,4th January 1985 (age 37),,
27801,Pawel Wojciechowski,255 lbs. (116 kg) at 6'6'' (1.98 m),Poland,Rider,24th October 2009 (12 years ago),,31st January 1989 (age 33),,
27802,László Árpád,220 lbs. (100 kg) at 6'5'' (1.96 m),Budapest (Hungary),László Árpád,2010,,17th April 1987 (age 34),,
27804,unknown,203 lbs. (92 kg) at 6'3'' (1.91 m),"Eindhoven, Noord-Brabant (Netherlands)",Johnny Evers,2010,,,,
27805,unknown,,,Wellbee Mask,,,,,
27806,Josh Hill,135 lbs. (61 kg) at 5'6'' (1.68 m),"Hamilton, Ontario (Canada)",Josh Hill,10th October 2009 (12 years ago),,24th November 1986 (age 35),,
27807,unknown,160 lbs. (73 kg) at 5'9'' (1.75 m),"London, Greater London, England (United Kingdom)",Mark Hendry,,,,,
27808,unknown,175 lbs. (79 kg) at 5'10'' (1.78 m),"Manchester, Greater Manchester, England (United Kingdom)",Lucas Jackson,,,,,
27809,unknown,199 lbs. (90 kg) at 5'10'' (1.78 m),"London, Greater London, England (United Kingdom)",Frank Hale,,,,,
27811,unknown,,"Warsaw, Indiana (United States of America)",Bolt Johnson,,,,,
27813,Steve Grabowski,,,Steve Gray,,,,,
27814,Francisco Soto,154 lbs. (70 kg) at 5'7'' (1.70 m),"Tuxtla Gutiérrez, Chiapas (Mexico)",Popeye Soto,,,29th February 1920,2nd December 1949,
27815,Javier López Muñoz,236 lbs. (107 kg) at 5'11'' (1.80 m),Mexico,Zar Rojo,,,13th March ???,,
27816,unknown,,Jalisco (Mexico),Silver Warrior,,,,,
27818,Janos Hauki,178 lbs. (81 kg) at 5'9'' (1.75 m),Budapest (Hungary),J-Hawk,2010,,9th December 1988 (age 33),,
27820,unknown,232 lbs. (105 kg) at 6'2'' (1.88 m),,Renegade,6th August 2010 (11 years ago),,27th October 1984 (age 37),,
27821,unknown,187 lbs. (85 kg) at 5'11'' (1.80 m),,Murlock,2010,,30th January 1992 (age 30),,
27822,unknown,170 lbs. (77 kg) at 6'0'' (1.83 m),,8Ball,2010,,12th June 1987 (age 34),,
27824,unknown,,,Poison,,5'8'' (1.73 m),,,
27825,unknown,198 lbs. (90 kg) at 6'0'' (1.83 m),Hungary,Nitro,21st May 2011 (10 years ago),,13th May 1989 (age 32),,
27826,unknown,,"Brownsville, Texas (United States of America)",El Karateka Jr.,2009,5'7'' (1.70 m),6th July 1992 (age 29),,
27827,unknown,,Seoul (South Korea),Yun Gang Chul,,,5th August 1974 (age 47),,211 lbs. (96 kg)
27828,Óscar Castillo,165 lbs. (75 kg) at 5'7'' (1.70 m),"Matamoros, Tamaulipas (Mexico)",El Karateka,,,,16th March 2013,
27829,Joel Kip Abee,,,Kip Abee,,,20th April 1967,4th April 2017,
27830,unknown,,North Carolina (United States of America),Tony Alford,,,,,
27831,Carlos Antonio Puertas Puentes,178 lbs. (81 kg) at 5'7'' (1.70 m),"Juárez, Chihuahua (Mexico)",Aéreo,13th September 2009 (12 years ago),,23rd March 1990 (age 31),,
27832,Gary Clywd,,,Gary B. Ware,,,,,
27834,unknown,,Japan,Futotta Kobashi,,,,,
27835,unknown,,,Ryunosuke Nomura,,,18th September 1991 (age 30),,
27837,George Ehling,249 lbs. (113 kg) at 6'0'' (1.83 m),,Cowboy Cassidy,,,1927,,
27839,unknown,,"Monterrey, Nuevo León (Mexico)",Cirio Negro,,,,,
27840,unknown,,Nuevo León (Mexico),Cirio Negro #2,,,,,
27842,unknown,,,Andy Ellison,,,,,
27843,unknown,,,Martin Roy,,,,,
27845,unknown,270 lbs. (122 kg) at 6'9'' (2.06 m),"Lafayette, Indiana (United States of America)",Buck Boulder,27th October 2012 (9 years ago),,25th October ???,,
27847,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Skadi ,14th April 2012 (9 years ago),5'6'' (1.68 m),14th November ???,,
27849,unknown,,,Hyuma Kawasaki,,,,,
27850,Neil Hall,,United Kingdom,Neil Hall,1st February 2004 (18 years ago),,7th April ???,,200 lbs. (91 kg)
27852,unknown,,Mexico,El Árabe,,,,,
27853,unknown,,Jalisco (Mexico),Explosivo,,,,,
27854,unknown,,,Damian Gibbs,,,,,
27855,unknown,,New Jersey (United States of America),Craven Varro,,,18th January ???,,
27856,unknown,,New York (United States of America),Keith Migs,,,9th January 1983 (age 39),,
27857,unknown,121 lbs. (55 kg) at 5'2'' (1.57 m),"Coacalco de Berriozábal, Estado de México (Mexico)",Crazy Kiss ,28th April 2012 (9 years ago),,4th March 1997 (age 25),,
27858,unknown,150 lbs. (68 kg) at 5'7'' (1.70 m),"Toda, Saitama (Japan)",Kyoko Aso ,5th July 1985 (36 years ago),,26th February 1970 (age 52),,
27859,Yumi Ikeshita,,"Fukuyama, Hiroshima (Japan)",Yumi Ikeshita ,11th September 1975 (46 years ago),,7th August 1958 (age 63),,
27860,Kanzaki Fumie,121 lbs. (55 kg) at 5'1'' (1.55 m),Tokyo (Japan),Kanzaki Fumie ,14th June 1985 (36 years ago),,4th August 1966 (age 55),,
27862,Yasuko Ishiguro,170 lbs. (77 kg) at 5'9'' (1.75 m),"Tokyo, Tokyo (Japan)",Yasuko Ishiguro ,23rd July 1985 (36 years ago),,6th December 1967 (age 54),,
27863,Mami Kumano,,Hyogo (Japan),Mami Kumano ,1975,,15th January 1960 (age 62),,
27866,unknown,128 lbs. (58 kg) at 5'5'' (1.65 m),Hokkaido (Japan),Sayuri Nakajima ,14th June 1985 (36 years ago),,29th January 1970 (age 52),,
27867,unknown,,Mexico,Mortal USA,,,,,
27868,Loyal M. Haut,,,Butch McCoy,,,25th April 1918,4th April 2003,
27869,Paul G. Mauer,,,Paul Mauret,,,,,
27871,Jon Webb,163 lbs. (74 kg) at 5'8'' (1.73 m),"Sparks, Nevada (United States of America)",Jon Webb,18th August 2012 (9 years ago),,10th November 1988 (age 33),,
27872,unknown,,,Chris Brave,,,,,
27873,Koharu Hinata,106 lbs. (48 kg) at 4'9'' (1.45 m),"Kawasaki, Kanagawa (Japan)",Koharu Hinata ,20th July 2013 (8 years ago),,1st December ???,,
27874,unknown,,,Syndrome,,,,,
27876,unknown,,,Jay Cruise,,,,,
27877,unknown,,,La Soltrona Chosen ,,,,,
27882,unknown,,Morelos (Mexico),Pequeño Leopardo,,,,,
27883,unknown,216 lbs. (98 kg) at 6'0'' (1.83 m),"New York City, New York (United States of America)",Bobby Wayward,19th January 2013 (9 years ago),,,,
27884,unknown,,New York (United States of America),Tommy Giorgio,,,,,
27885,unknown,,,Ariga Nii-san,8th December 2012 (9 years ago),,,,
27886,unknown,,,YANAGAWA,,,,,
27887,unknown,,,KENJI,,,,,
27888,unknown,,,Hikari Ishida,,,,,
27892,William Noble,,,White Noble,,,,19th March 1933,
27893,unknown,,,Vicki Page,,,,,
27894,unknown,,,Marilyn Shipman,,,,,
27895,unknown,239 lbs. (108 kg) at 6'1'' (1.85 m),"Atlanta, Georgia (United States of America)",Andy Anderson,,,,,
27896,Thomas J. Burnell,,,Tom Ugly,,,25th April 1980,2nd November 2013,
27897,unknown,180 lbs. (82 kg) at 5'7'' (1.70 m),,Chris Envy,??th November 2002,,22nd January ???,,
27898,unknown,,,Prince Moses Moli,,,,,
27899,unknown,183 lbs. (83 kg) at 5'11'' (1.80 m),"Guanajuato, Guanajuato (Mexico)",Chavo Banda,,,9th April 1982 (age 39),,
27901,unknown,165 lbs. (75 kg) at 5'5'' (1.65 m),"Ciudad de México, Ciudad de México (Mexico)",El Aniquilador,16th August 2009 (12 years ago),,5th March 1992 (age 30),,
27903,unknown,,,Caroline Copeland,,,,,
27904,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Alfa,,,4th January 1997 (age 25),,
27905,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Omega,,,7th May 1992 (age 29),,
27906,unknown,,"Reynosa, Tamaulipas (Mexico)",Lluvia de Oro ,,,23rd December 1981 (age 40),,
27907,Rudy Garduño,,Mexico,Rey Terror,1973,,,,
27908,unknown,,Mexico,Yuma,,,,,
27909,unknown,,Estado de México (Mexico),Decadente,,,,,
27910,unknown,132 lbs. (60 kg) at 5'5'' (1.65 m),"Luncarty, Perth and Kinross, Scotland (United Kingdom)",Deborah Dahmer ,2013,,,,
27913,unknown,,San Luis Potosí (Mexico),Black Ventura,,,,,
27919,unknown,,San Luis Potosí (Mexico),Amnesia,,,,,
27920,unknown,132 lbs. (60 kg) at 5'4'' (1.63 m),"Veracruz, Veracruz de Ignacio de la Llave (Mexico)",Mini May Flowers,1997,,28th January 1987 (age 35),,
27921,Raúl González,,"Guadalajara, Jalisco (Mexico)",El Delincuente #2,2010,,1993,,
27923,unknown,,,Jackie Lynn,,,,,
27924,unknown,,,Karate Machine #1,,,,,
27925,unknown,,,Ken Kato,,,,,
27926,unknown,,,Muneo Higuchi,,,,,
27927,unknown,,,Violence Revenger Beta,,,,,
27928,unknown,,,Tosihiko Itakura,,,,,
27929,unknown,,,Tokyo Tom Jr.,,,,,
27930,unknown,,,Yuichi Otsuka,,,,,
27931,Gabriel David Vega,,"Orlando, Florida (United States of America)",Gabriel Black,??th April 2008,,1989,,
27935,unknown,,,Mad Koichi,,,,,
27936,Ali Bagautinov,125 lbs. (57 kg) at 5'4'' (1.63 m),Dagestan (Russia),Ali Bagautinov,19th December 2009 (12 years ago),,10th June 1985 (age 36),,
27937,unknown,,,Shadow DSL,,,,,
27938,unknown,,Mexico,Black Spartan,,,,,
27939,unknown,,Querétaro Arteaga (Mexico),Fire Fighter,,,,,
27940,unknown,,,Prakash Sabar,,,,,
27941,unknown,,Querétaro Arteaga (Mexico),Rey Impacto,,,,,
27942,unknown,,Querétaro Arteaga (Mexico),Brujo Maya,,,15th March 1995,31st July 2017,
27943,unknown,,Mexico,El Hijo del Diablo Jr.,,,,,
27944,unknown,,,Akihiro,,,,,
27945,unknown,280 lbs. (127 kg) at 5'11'' (1.80 m),"Kansas City, Kansas (United States of America)",Kyng Benjamin,??th May 2010,,18th March ???,,
27946,unknown,,,Bakabon no Papa,,,,,
27947,unknown,,,Besamemucho Kanda,,,,,
27948,unknown,,,Bruce Lei,,,,,
27949,unknown,,,Super Freddy,,,,,
27950,unknown,,,The Great Sata,,,,,
27951,unknown,,,King Leatherface,,,,,
27952,unknown,,,Moka-sama ,,,,,
27953,unknown,,,Satan,,,,,
27954,unknown,,,Kazuhiro Okamoto,,,,,
27955,unknown,,,Ashita Maeda,,,,,
27956,unknown,,,THE OUKA,,,,,
27958,Dustin Mehl,,United States of America,D-Unit,,,,,
27959,Derek Mehl,249 lbs. (113 kg) at 6'0'' (1.83 m),California (United States of America),T-Rent,,,,,
27960,José Tito Velázquez,,,Hermano Muerte #1,,,,,
27961,Gonzalo Gómez Martínez,,"Torreón, Coahuila de Zaragoza (Mexico)",Gonzalo Gómez,,,10th January 1919,7th February 2007,
27964,unknown,,"Guadalajara, Jalisco (Mexico)",Revolver,,,1st July ???,,
27967,unknown,,Estado de México (Mexico),Rey Inmortal,,,,,
27968,unknown,169 lbs. (77 kg) at 5'7'' (1.70 m),"Monterrey, Nuevo León (Mexico)",El Hijo de Mano Negra,2011,,12th June 1996 (age 25),,
27969,unknown,,Mexico,Rey Furious,,,,,
27971,unknown,135 lbs. (61 kg) at 5'1'' (1.55 m),Veracruz de Ignacio de la Llave (Mexico),Princesa Mohicana ,11th March 2007 (15 years ago),,19th March 1988 (age 34),,
27972,unknown,,Mexico,Aventurera,,,,,
27973,unknown,125 lbs. (57 kg) at 5'6'' (1.68 m),"Tahlequah, Oklahoma (United States of America)",Violet Payne,??th September 2011,,1st June 1990 (age 31),,
27976,Michael Bochicchio,172 lbs. (78 kg) at 5'8'' (1.73 m),,Ethan Case,2000,,,,
27977,unknown,181 lbs. (82 kg) at 5'9'' (1.75 m),Mexico,Psycho Kid,,,11th March ???,,
27978,Julianna Peña,135 lbs. (61 kg) at 5'6'' (1.68 m),"Spokane, Washington (United States of America)",Julianna Peña ,9th May 2009 (12 years ago),,19th August 1989 (age 32),,
27979,Ryan Benoit,125 lbs. (57 kg) at 5'5'' (1.65 m),"San Diego, California (United States of America)",Ryan Benoit,9th May 2009 (12 years ago),,,,
27980,unknown,,Mexico,Destroyer,,,,,
27981,Joshua Sampo,125 lbs. (57 kg) at 5'4'' (1.63 m),"Las Vegas, Nevada (United States of America)",Joshua Sampo,6th November 2009 (12 years ago),,24th July 1984 (age 37),,
27982,Drew Dober,170 lbs. (77 kg) at 5'8'' (1.73 m),"Omaha, Nebraska (United States of America)",Drew Dober,3rd October 2008 (13 years ago),,,,
27983,Walter Harris,245 lbs. (111 kg) at 6'5'' (1.96 m),"Birmingham, Alabama (United States of America)",Walter Harris,15th March 2011 (11 years ago),,10th June 1983 (age 38),,
27984,Tom Niinimäki,145 lbs. (66 kg) at 5'9'' (1.75 m),"Turku, Varsinais-Suomi (Finland)",Tom Niinimäki,19th October 2002 (19 years ago),,25th July 1982 (age 39),,
27985,Margaret Morgan,135 lbs. (61 kg) at 6'1'' (1.85 m),"Biloxi, Mississippi (United States of America)",Peggy Morgan ,2nd June 2012 (9 years ago),,,,
27986,unknown,,Japan,Mango Miyuki ,,,,,
27987,Chris Holdsworth,135 lbs. (61 kg) at 5'11'' (1.80 m),"Los Angeles, California (United States of America)",Chris Holdsworth,9th October 2010 (11 years ago),,,,
27988,David Grant,135 lbs. (61 kg) at 5'8'' (1.73 m),"Bishop Auckland, Durham, England (United Kingdom)",David Grant,18th July 2009 (12 years ago),,18th December 1985 (age 36),,
27990,Brandón Eli Martínez,,"Monterrey, Nuevo León (Mexico)",Alberto Dos Rios,,,18th August 1997 (age 24),,
27993,unknown,,,Leon Shelly,,,,,
27994,unknown,234 lbs. (106 kg) at 6'1'' (1.85 m),Georgia (United States of America),Jake Slater,,,,8th January 2022,
27995,Joseph Stuart Handelman,,"Albany, Georgia (United States of America)",Joey Kidman,22nd November 2008 (13 years ago),,6th January 1993,22nd March 2015,252 lbs. (114 kg)
27996,unknown,,,Matt Mercer,,,,,210 lbs. (95 kg)
27997,Matthew Waters,286 lbs. (130 kg) at 6'10'' (2.08 m),"Lyons, Georgia (United States of America)",Mads Krügger,20th January 2012 (10 years ago),,22nd August 1984 (age 37),,
27999,unknown,,,Tetchi Makuji,,,7th October ???,,270 lbs. (122 kg)
28000,unknown,,,Pain,1993,,,,400 lbs. (181 kg)
28001,David Matike Tita,,Douala (Cameroon),David Tita,,,14th October ???,,170 lbs. (77 kg)
28002,unknown,,,James SWAT,,,,,230 lbs. (104 kg)
28003,unknown,,,Don Yoder,,,,,230 lbs. (104 kg)
28004,Felipe Meléndez Viviano,209 lbs. (95 kg) at 5'6'' (1.68 m),"Heroica Puebla de Zaragoza, Puebla (Mexico)",Portos Jr.,,,25th February 1959,5th July 2021,
28005,Ray Giagrando,,,Cannonball Grange,,,,,
28007,unknown,,,Arnold Minkley,,,,,
28009,unknown,236 lbs. (107 kg) at 6'0'' (1.83 m),United States of America,Ed Atlas,1986,,,,
28010,unknown,,Mexico,Death Fly,,,,,
28011,unknown,143 lbs. (65 kg) at 5'4'' (1.63 m),"Tampico, Tamaulipas (Mexico)",La Abogada ,17th April 2013 (8 years ago),,11th December 1994 (age 27),,
28013,unknown,,United States of America,La Furiosa ,,,,,
28014,unknown,,San Luis Potosí (Mexico),Silver Slam,,,,,
28015,unknown,,"Tokyo, Tokyo (Japan)",Nonoko ,1st December 2013 (8 years ago),4'11'' (1.50 m),29th June ???,,
28016,unknown,,Japan,Ayumi Takada ,1st December 2013 (8 years ago),5'5'' (1.65 m),26th February ???,,
28017,unknown,,,Adamantium,,,,,
28018,unknown,,Mexico,Sky Dragon,,,,,
28019,unknown,173 lbs. (78 kg) at 5'10'' (1.78 m),"Boone, Iowa (United States of America)",JJ Garrett,,,24th January 1994 (age 28),,
28020,Ellison Leslie Wolfe,181 lbs. (82 kg) at 6'2'' (1.88 m),"Sherman, Texas (United States of America)",Les Wolfe,,,12th July 1907,26th December 1993,
28021,Stuart Charles Tomlinson,,"Chester, Cheshire, England (United Kingdom)",Hugo Knox,8th November 2014 (7 years ago),6'0'' (1.83 m),22nd May 1985 (age 36),,
28022,Raymond Couture,,,Roy Landrú,,,,,
28023,Thomas James Rusk,,,Red Hawk,,,,22nd October 2013,
28024,unknown,126 lbs. (57 kg) at 5'4'' (1.63 m),"Tampico, Tamaulipas (Mexico)",Xatana Zatara ,29th April 2013 (8 years ago),,9th July ???,,
28026,unknown,,,Michael Stevens,21st January 2005 (17 years ago),,14th January 1988 (age 34),,
28027,unknown,,"Gadsden, Alabama (United States of America)",Jeremy Foster,??th November 2008,,4th May 1989 (age 32),,
28028,unknown,165 lbs. (75 kg) at 6'0'' (1.83 m),"St. Augustine, Florida (United States of America)",Ace Haven,18th September 2008 (13 years ago),,19th November 1989 (age 32),,
28031,unknown,,"Hartwell, Georgia (United States of America)",Kevin Blue,2003,,,,
28032,Rebecca Wishner,120 lbs. (54 kg) at 5'3'' (1.60 m),"Agoura Hills, California (United States of America)",Sage Sin ,,,22nd February 1992 (age 30),,
28033,Daniel Ornelas,,"Tyler, Texas (United States of America)",Hoss Hogg,31st January 2013 (9 years ago),,,,
28034,unknown,118 lbs. (54 kg) at 5'2'' (1.57 m),"Ciudad de México, Ciudad de México (Mexico)",Reina Dorada ,15th May 2013 (8 years ago),,9th January 1995 (age 27),,
28035,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Kaiser Dragón,,,10th June ???,,
28036,unknown,,Mexico,Versus,,,11th December 1994 (age 27),,
28037,unknown,,"Acapulco de Juárez, Guerrero (Mexico)",Kalim-Black,,,24th January 1991 (age 31),,
28038,unknown,,"Juárez, Chihuahua (Mexico)",Yanko,,,,,
28039,unknown,,"Torreón, Coahuila de Zaragoza (Mexico)",Dulce Gardenia,,,30th January 1992 (age 30),,
28040,unknown,,Illinois (United States of America),Lance Storie,,,,,
28041,Anthony Bowens,205 lbs. (93 kg) at 5'10'' (1.78 m),"Nutley, New Jersey (United States of America)",Anthony Bowens,19th January 2013 (9 years ago),,18th December 1990 (age 31),,
28042,Julio Pedroza,,Mexico,El Mariachi,2007,,,,
28043,unknown,190 lbs. (86 kg) at 5'10'' (1.78 m),"South Palm Beach, Florida (United States of America)",Leo Blaze,??th April 2005,,,,
28044,unknown,170 lbs. (77 kg) at 5'11'' (1.80 m),"Río de Janeiro, Río de Janeiro (Brazil)",Luiz Jorge Dutra Jr.,,,6th May 1982 (age 39),,
28045,unknown,155 lbs. (70 kg) at 5'9'' (1.75 m),Seoul (South Korea),Seung Hwan Bang,,,15th April 1983 (age 38),,
28048,unknown,,"Amarillo, Texas (United States of America)",Paula Fate ,,,14th September 1990 (age 31),,
28049,unknown,,United States of America,Bill Daly,,,,,
28050,unknown,155 lbs. (70 kg) at 5'6'' (1.68 m),"Ciudad de México, Ciudad de México (Mexico)",El Enfermero Jr.,,,18th March 1989 (age 33),,
28051,unknown,,,Pat Cusick,,,,,
28052,Armando Muñiz,,"Santiago de Querétaro, Querétaro Arteaga (Mexico)",Rey Centella,1993,,1975,,
28053,unknown,,,Sean Venom,,,,,
28055,unknown,180 lbs. (82 kg) at 5'10'' (1.78 m),"Rock Island, Illinois (United States of America)",Evan Money,??th September 2008,,,,
28056,unknown,386 lbs. (175 kg) at 6'4'' (1.93 m),"Linz, Oberösterreich (Austria)",Dimi Dimoff,,,16th August 1948 (age 73),,
28072,unknown,162 lbs. (73 kg) at 5'5'' (1.65 m),Mexico,El Cachorro #2,??th July 1984,,,,
28074,unknown,225 lbs. (102 kg) at 5'9'' (1.75 m),Mexico,Payaso del Mal Jr.,2013,,,,
28075,unknown,150 lbs. (68 kg) at 5'7'' (1.70 m),Mexico,Astro Infernal,2011,,8th June 1998 (age 23),,
28078,unknown,163 lbs. (74 kg) at 5'3'' (1.60 m),Mexico,Chica Pantera ,2009,,20th April 1994 (age 27),,
28079,unknown,132 lbs. (60 kg) at 5'3'' (1.60 m),"Ciudad de México, Ciudad de México (Mexico)",Sexy Girl ,,,8th October 1997 (age 24),,
28080,Alois Kadziack,,"Tarnowskie Góry, Slaskie (Poland)",Alois Kautzki,,,1897,XXXX,
28081,unknown,,Mexico,El Hacha,,,,,
28082,unknown,,Mexico,Grako,,,,,
28083,unknown,,Hidalgo (Mexico),Titanio,,,,,
28084,unknown,,,Jimmy Little,,,,,
28085,unknown,,,Cowboy Sam Thomas,,,,,
28086,Levert Johnson,99 lbs. (45 kg) at 4'5'' (1.35 m),,Bobo Johnson,,,1950,,
28087,Georg Borysenko,,Germany,Sascha Boryshenko,,,27th September 1944 (age 77),,
28088,unknown,,"Baltimore, Maryland (United States of America)",Solo,2010,,11th September 1985 (age 36),,
28090,Mario Gómez Nájera,172 lbs. (78 kg) at 5'10'' (1.78 m),"Pachuca, Hidalgo (Mexico)",Karis la Momia,1950,,22nd October 1930 (age 91),,
28091,unknown,231 lbs. (105 kg) at 5'11'' (1.80 m),,Freddy Bardot,,,,,
28092,unknown,,Baja California (Mexico),Animal,,,,,
28093,unknown,,Baja California (Mexico),El Misionero de la Muerte,,,,,
28094,unknown,251 lbs. (114 kg) at 6'5'' (1.96 m),Indiana (United States of America),Joe Pittman,??th October 2012,,??th July 1987,,
28095,unknown,,,The Lithuanian Snow Troll,,,,,
28096,unknown,,,The Brown Morning of Belarus,,,,,
28098,unknown,,,Bob Pirie,,,,,
28099,unknown,,"Aguascalientes, Aguascalientes (Mexico)",Bengala,,,,,
28100,unknown,,Jalisco (Mexico),El Yaqui,,,13th June 1987 (age 34),,
28101,unknown,115 lbs. (52 kg) at 5'3'' (1.60 m),"Mazatlán, Sinaloa (Mexico)",Sary Kay ,2012,,7th October 1991 (age 30),,
28102,unknown,,Estado de México (Mexico),Neza Kid,,,,,
28103,unknown,,,Mark Manson,1997,,,,
28105,Cornelio R. Hernández,,,Tony Rodríguez,1967,,,,
28106,unknown,175 lbs. (79 kg) at 6'1'' (1.85 m),"Surrey, British Columbia (Canada)",Alex Prestige,13th April 2012 (9 years ago),,27th June ???,,
28107,unknown,227 lbs. (103 kg) at 6'0'' (1.83 m),"Paradise, Newfoundland and Labrador (Canada)",Kenny Doll,2009,,7th June ???,,
28108,unknown,,"Toronto, Ontario (Canada)",Shane Sabre,,,,,202 lbs. (92 kg)
28109,unknown,179 lbs. (81 kg) at 5'7'' (1.70 m),"Charlottetown, Prince Edward Island (Canada)",Bret MacLeod,,,,,
28110,unknown,193 lbs. (88 kg) at 5'8'' (1.73 m),,Mantasia,,,,,
28112,unknown,352 lbs. (160 kg) at 6'0'' (1.83 m),"Montréal, Quebec (Canada)",Spike,,,,,
28113,unknown,213 lbs. (97 kg) at 6'0'' (1.83 m),"Montréal, Quebec (Canada)",Volkano,,,,,
28114,unknown,205 lbs. (93 kg) at 5'11'' (1.80 m),"Montréal, Quebec (Canada)",Marc Mercer,,,,,
28115,unknown,209 lbs. (95 kg) at 5'10'' (1.78 m),"Montréal, Quebec (Canada)",Stew Korvus,2004,,2nd October 1983 (age 38),,
28116,unknown,260 lbs. (118 kg) at 6'0'' (1.83 m),Quebec (Canada),Jeff Saunders,,,,,
28117,Johann Baptist Wilhelm Wingender,,"Neuwied, Rheinland-Pfalz (Germany)",John Wingender,,,,,
28119,unknown,195 lbs. (88 kg) at 5'11'' (1.80 m),"Laval, Quebec (Canada)",Eddy ErDogan,,,,,
28120,unknown,,"Brampton, Ontario (Canada)",Taylor Kay Deen,,,,,
28121,Shaun Morris,,Ontario (Canada),Shaunymo,23rd February 2013 (9 years ago),,,23rd June 2020,
28122,Shawn Capon,,"Montréal, Quebec (Canada)",Aiden Rayne,,,,,
28123,unknown,,,Danny Orlando,,,,,
28124,unknown,,,Chief Ade,,,,,
28125,Bea Moscrip,130 lbs. (59 kg) at 5'7'' (1.70 m),"Port Colborne, Ontario (Canada)",Beautiful Beaa ,2012,,14th June 1992 (age 29),,
28126,unknown,,,Jimmy King,,,,,
28127,unknown,,,Little Bruce Rutter,,,,,
28128,unknown,125 lbs. (57 kg) at 5'5'' (1.65 m),"Sherbrooke, Quebec (Canada)",Diana Hall ,2012,,,,
